Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
66,4211150,3,PLATE 1X2,Reddish Brown,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,,,3023 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211150
67,4211190,2,PLATE 1X4,Reddish Brown,3710,Plate 1 x 4,On Pick a Brick (late-2025 listing),0.1,late 2025,,,,3710 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211190
68,4221590,2,PLATE 1X6,Reddish Brown,3666,Plate 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,3666 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4221590
69,4216945,3,PLATE 1X8,Reddish Brown,3460,Plate 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,,,,3460 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4216945
70,4216695,1,PLATE 2X2,Reddish Brown,3022,Plate 2 x 2,On Pick a Brick (late-2025 listing),0.09,late 2025,,4613975,,3022 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4216695
71,4211247,2,PLATE 2X6,Reddish Brown,3795,Plate 2 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.19,2022,,,,3795 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211247
72,4211211,1,PLATE 2X8,Reddish Brown,3034,Plate 2 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,,,3034 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211211
73,4271874,4,PLATE 4X6,Reddish Brown,3032,Plate 4 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.43,2022,,,4211213,3032 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4271874
74,4523159,9,(not listed),Warm Gold,6141,Plate Round 1 x 1,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,,4073 / Pearl Gold,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4523159
75,6116602,2,LIGHT SWORD - BLADE,White,21462,Bar 4L (Light Sword Blade),In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,4129836,30374 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6116602
